Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
42	-482.9044	-495.1202	12.21585	0.02242291	0.002119142	0.0150764	0.00142484	0.0297695	0.00281345	0.672364	1.32764	0.5043478	0.711644	1.4052	0.0224229	0.00211914	0.01032408	0.0103241	0.0103241	0.0628109	0.606808	0.133811	0.19657	0.6592563	0.03284909	0.283108	0.0141065	1.03541	0.0515916	0.429435	1.57057	0.9612609	0.522902	1.9124	0.659256	0.0328491	0.0237114	0.00234163
43	-483.7845	-496.3228	12.53831	0.02242291	0.004248019	0.0155967	0.0029548	0.0292491	0.00554124	0.695571	1.30443	0.4661209	0.730231	1.36943	0.0224229	0.00424802	0.01542743	0.0154274	0.0154274	0.0628109	0.606808	0.133811	0.19657	0.5796249	0.01586611	0.268898	0.00736058	0.890351	0.0243717	0.463918	1.53608	0.8875468	0.549558	1.81964	0.579625	0.0158661	0.0189405	0.00268543
44	-480.4387	-494.6769	14.2382	0.003759758	0.004248019	0.00229247	0.00259018	0.00522704	0.00590585	0.609739	1.39026	0.6109913	0.662253	1.51	0.00375976	0.00424802	0.007218477	0.00721848	0.00721848	0.0624873	0.603682	0.138273	0.195557	0.4766986	0.01586611	0.244427	0.00813533	0.708971	0.0235969	0.512749	1.48725	0.7894105	0.587165	1.7031	0.476699	0.0158661	0.030564	0.00395454
45	-479.6096	-493.3868	13.77715	0.003759758	0.0008311883	0.00110181	0.000243582	0.00641771	0.00141879	0.293053	1.70695	1.306252	0.414346	2.41344	0.00375976	0.000831188	0.007218477	0.00721848	0.00721848	0.0624873	0.603682	0.138273	0.195557	0.5407329	0.03240752	0.253088	0.0151682	0.828378	0.0496468	0.468045	1.53195	0.8789862	0.55274	1.80917	0.540733	0.0324075	0.0279962	0.0045736
46	-484.3591	-492.7856	8.426556	0.01091584	0.006431099	0.000582529	0.000343199	0.0212491	0.012519	0.0533655	1.94663	2.666233	0.165572	6.03965	0.0109158	0.0064311	0.004664917	0.00466492	0.00466492	0.0622769	0.605016	0.137808	0.194899	0.4288167	0.04378834	0.200706	0.0204949	0.656928	0.0670817	0.468045	1.53195	0.8789862	0.55274	1.80917	0.428817	0.0437883	0.0271695	0.0045736
47	-487.4225	-492.4982	5.07567	0.03531928	0.02681106	0.00188483	0.00143079	0.0687537	0.0521913	0.0533655	1.94663	2.666233	0.165572	6.03965	0.0353193	0.0268111	0.009624454	0.00962445	0.00962445	0.0622769	0.605016	0.137808	0.194899	0.4242707	0.08432532	0.178367	0.0354511	0.670174	0.133199	0.420409	1.57959	0.9812547	0.515898	1.93837	0.424271	0.0843253	0.0216426	0.00352171
48	-483.7725	-492.2403	8.46789	0.01906835	0.002045505	0.00101759	0.000109159	0.0371191	0.00398185	0.0533655	1.94663	2.666233	0.165572	6.03965	0.0190683	0.0020455	0.008370468	0.00837047	0.00837047	0.0593591	0.606899	0.138237	0.195505	0.4482653	0.05321943	0.220221	0.0261453	0.67631	0.0802935	0.491274	1.50873	0.8317545	0.570633	1.75244	0.448265	0.0532194	0.0309396	0.00608921
49	-483.7722	-493.8846	10.11236	0.04742025	0.002045505	0.0125566	0.000541639	0.0822839	0.00354937	0.264795	1.73521	1.393591	0.390642	2.55989	0.0474203	0.0020455	0.006065737	0.00606574	0.00606574	0.0593591	0.606899	0.138237	0.195505	0.371889	0.05321943	0.198754	0.0284428	0.545024	0.0779961	0.534443	1.46556	0.7477988	0.603878	1.65596	0.371889	0.0532194	0.0309396	0.0070191
50	-479.0342	-492.2576	13.22339	0.00413191	0.002045505	0.00188666	0.00093399	0.00637717	0.00315702	0.456606	1.54339	0.9028441	0.543917	1.83852	0.00413191	0.0020455	0.01128044	0.0112804	0.0112804	0.0593591	0.606899	0.138237	0.195505	0.3861436	0.05900455	0.20078	0.0306801	0.571507	0.087329	0.519962	1.48004	0.7754515	0.592719	1.68714	0.386144	0.0590045	0.026396	0.00581056
51	-481.8227	-492.4704	10.64772	0.01912013	0.00567686	0.00903715	0.00268317	0.0292031	0.00867055	0.472651	1.52735	0.8694956	0.55629	1.79762	0.0191201	0.00567686	0.009073301	0.0090733	0.0090733	0.0610888	0.595444	0.142265	0.201202	0.4407616	0.06079351	0.229179	0.0316103	0.652344	0.0899767	0.519962	1.48004	0.7754515	0.592719	1.68714	0.440762	0.0607935	0.0266887	0.00581056
