Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
44	-98.63234	-116.6336	18.00122	3.765357e-06	0.004852385	3.60051e-06	0.00463994	3.93021e-06	0.00506483	0.956219	1.04378	0.06495088	0.957137	1.04478	3.76536e-06	0.00485238	0.1016243	0.101624	0.101624	0.116107	0.426284	0.409363	0.0482453	0.01551805	0.1225324	0.0114017	0.090029	0.0196344	0.155036	0.734736	1.26526	0.4029149	0.762036	1.31227	0.0155181	0.122532	0.00950756	0.0822097
45	-98.79336	-117.6782	18.88481	1.331561e-05	0.004852385	1.24005e-05	0.00451889	1.42308e-05	0.00518588	0.931272	1.06873	0.1020571	0.933479	1.07126	1.33156e-05	0.00485238	0.002490903	0.0024909	0.0024909	0.14265	0.571729	0.189013	0.0966068	0.03804474	0.2542874	0.0279529	0.186834	0.0481366	0.321741	0.734736	1.26526	0.4029149	0.762036	1.31227	0.0380447	0.254287	0.00888827	0.0822097
46	-102.7527	-118.3495	15.59679	0.005897264	0.004852385	0.00565035	0.00464922	0.00614418	0.00505555	0.958131	1.04187	0.06211187	0.958972	1.04278	0.00589726	0.00485238	0.02356923	0.0235692	0.0235692	0.0763229	0.223805	0.648185	0.0516879	0.01268645	0.1265016	0.0106136	0.105832	0.0147593	0.147171	0.836606	1.16339	0.2444395	0.848002	1.17924	0.0126865	0.126502	0.00514672	0.047426
47	-96.0455	-117.8201	21.77459	3.962191e-05	0.0007649509	3.7963e-05	0.000732923	4.12808e-05	0.000796979	0.958131	1.04187	0.06211187	0.958972	1.04278	3.96219e-05	0.000764951	0.0244962	0.0244962	0.0244962	0.0898239	0.263394	0.585951	0.0608312	0.01968371	0.1797058	0.0164675	0.150343	0.0228999	0.209069	0.836606	1.16339	0.2444395	0.848002	1.17924	0.0196837	0.179706	0.00162234	0.0469594
48	-94.03198	-118.7877	24.75573	0.001195099	1.574239e-06	0.0011211	1.47676e-06	0.0012691	1.67172e-06	0.938079	1.06192	0.09192154	0.939883	1.06396	0.0011951	1.57424e-06	0.03845217	0.0384522	0.0384522	0.0425466	0.124761	0.784597	0.0480953	0.02137471	0.1541954	0.0178822	0.129001	0.0248672	0.17939	0.836606	1.16339	0.2444395	0.848002	1.17924	0.0213747	0.154195	0.00162234	0.0282773
49	-102.5408	-116.7826	14.24184	0.001195099	0.01553986	0.000918824	0.0119475	0.00147137	0.0191323	0.768827	1.23117	0.349047	0.790232	1.26545	0.0011951	0.0155399	0.01729	0.01729	0.01729	0.052589	0.276599	0.611365	0.0594474	0.02137471	0.1541954	0.0178822	0.129001	0.0248672	0.17939	0.836606	1.16339	0.2444395	0.848002	1.17924	0.0213747	0.154195	0.00832054	0.0655889
50	-94.84374	-117.6656	22.82183	8.990032e-06	0.001314934	6.91178e-06	0.00101096	1.10683e-05	0.00161891	0.768827	1.23117	0.349047	0.790232	1.26545	8.99003e-06	0.00131493	0.009658878	0.00965888	0.00965888	0.052589	0.276599	0.611365	0.0594474	0.01027195	0.1541954	0.00833698	0.125149	0.0122069	0.183242	0.811626	1.18837	0.2826598	0.826421	1.21004	0.010272	0.154195	0.00832054	0.0588481
51	-99.10514	-120.6286	21.52342	2.217507e-05	1.698261e-05	1.70488e-05	1.30567e-05	2.73014e-05	2.09085e-05	0.768827	1.23117	0.349047	0.790232	1.26545	2.21751e-05	1.69826e-05	0.001548322	0.00154832	0.00154832	0.105124	0.441041	0.335001	0.118834	0.007897364	0.07525792	0.0064097	0.0610813	0.00938502	0.0894346	0.811626	1.18837	0.2826598	0.826421	1.21004	0.00789736	0.0752579	0.0729493	0.15118
52	-97.48744	-118.6284	21.141	2.217507e-05	8.430968e-05	1.10865e-05	4.21508e-05	3.32637e-05	0.000126469	0.499953	1.50005	0.8144961	0.577314	1.73216	2.21751e-05	8.43097e-05	0.03431987	0.0343199	0.0343199	0.131363	0.551124	0.0105208	0.306992	0.01791997	0.07525792	0.0119236	0.0500753	0.0239163	0.100441	0.665382	1.33462	0.5159746	0.706085	1.41626	0.01792	0.0752579	0.0355064	0.0719028
53	-88.77812	-116.8855	28.10738	4.5448e-06	1.485311e-06	3.43794e-06	1.12357e-06	5.65166e-06	1.84705e-06	0.756456	1.24354	0.368483	0.77994	1.28215	4.5448e-06	1.48531e-06	0.01718337	0.0171834	0.0171834	0.131363	0.551124	0.0105208	0.306992	0.01482799	0.1043895	0.00558367	0.0393092	0.0240723	0.16947	0.376563	1.62344	1.083201	0.481616	2.07634	0.014828	0.104389	0.01579	0.0649026
54	-90.43659	-117.6928	27.25616	3.444368e-05	3.714396e-06	3.40319e-05	3.66999e-06	3.48554e-05	3.7588e-06	0.988045	1.01195	0.01772467	0.988116	1.01203	3.44437e-05	3.7144e-06	0.01537822	0.0153782	0.0153782	0.114372	0.479837	0.00915998	0.396631	0.0249802	0.1043895	0.022888	0.0956465	0.0270724	0.113132	0.916247	1.08375	0.1244641	0.919477	1.08757	0.0249802	0.104389	0.00763738	0.0649026
