Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
51	-2222.306	-2221.435	-0.8702102	0.0003686121	0.01223404	0.000336353	0.0111634	0.000400871	0.0133047	0.912486	1.08751	0.1300811	0.916	1.0917	0.000368612	0.012234	0.06304042	0.0630404	0.0630404	0.06948383	0.02265087	0.0136541	0.00445106	0.125314	0.0408507	0.196507	1.80349	1.643303	0.33009	3.02948	0.0694838	0.0226509	0.0129317	0.00016879
52	-2214.44	-2223.363	8.923346	0.0003686121	0.0001250536	0.000336353	0.00011411	0.000400871	0.000135998	0.912486	1.08751	0.1300811	0.916	1.0917	0.000368612	0.000125054	0.05406098	0.054061	0.054061	0.07242846	0.005890533	0.0142327	0.00115753	0.130624	0.0106235	0.196507	1.80349	1.643303	0.33009	3.02948	0.0724285	0.00589053	0.0106212	0.00016879
53	-2221.442	-2218.038	-3.404764	0.0003686121	0.001082607	0.000325011	0.000954551	0.000412213	0.00121066	0.881715	1.11828	0.1761938	0.887949	1.12619	0.000368612	0.00108261	0.06979596	0.069796	0.069796	0.09096507	0.005890533	0.0178753	0.00115753	0.164055	0.0106235	0.196507	1.80349	1.643303	0.33009	3.02948	0.0909651	0.00589053	0.0182436	0.00532792
54	-2216.75	-2221.719	4.969599	0.0005630941	0.002188998	0.000525097	0.00204129	0.000601091	0.00233671	0.932521	1.06748	0.1001963	0.934652	1.06992	0.000563094	0.002189	0.05699895	0.056999	0.056999	0.07835915	0.00131425	0.0153981	0.00025826	0.14132	0.00237024	0.196507	1.80349	1.643303	0.33009	3.02948	0.0783591	0.00131425	0.0135218	0.000516853
55	-2215.772	-2219.74	3.968463	0.0005630941	0.001204123	0.000533423	0.00114068	0.000592765	0.00126757	0.947308	1.05269	0.07819381	0.948626	1.05416	0.000563094	0.00120412	0.05699895	0.056999	0.056999	0.07619962	0.00131425	0.0149738	0.00025826	0.137425	0.00237024	0.196507	1.80349	1.643303	0.33009	3.02948	0.0761996	0.00131425	0.018788	6.2259e-05
56	-2218.791	-2220.009	1.218288	0.0005630941	0.02479412	0.000540064	0.0237801	0.000586124	0.0258082	0.9591	1.0409	0.0606717	0.959904	1.04177	0.000563094	0.0247941	0.04858804	0.048588	0.048588	0.07463088	0.002660246	0.00912112	0.000325126	0.140141	0.00499537	0.122216	1.87778	2.025274	0.255119	3.91975	0.0746309	0.00266025	0.0226324	6.2259e-05
57	-2214.224	-2219.24	5.015971	0.0003370862	0.0007558623	0.0003233	0.000724948	0.000350873	0.000786777	0.9591	1.0409	0.0606717	0.959904	1.04177	0.000337086	0.000755862	0.05227316	0.0522732	0.0522732	0.07523808	0.0002469201	0.00919533	3.01777e-05	0.141281	0.000463663	0.122216	1.87778	2.025274	0.255119	3.91975	0.0752381	0.00024692	0.0226324	0.00382168
58	-2218.114	-2222.881	4.766694	0.0003370862	0.002574542	0.0003233	0.00246924	0.000350873	0.00267984	0.9591	1.0409	0.0606717	0.959904	1.04177	0.000337086	0.00257454	0.04808138	0.0480814	0.0480814	0.06101919	0.001018086	0.00458569	7.65108e-05	0.117453	0.00195966	0.0751516	1.92485	2.40411	0.197593	5.06092	0.0610192	0.00101809	0.0186469	0.00382168
59	-2220.512	-2222.039	1.526529	0.0003370862	0.006335943	0.000258119	0.00485166	0.000416053	0.00782022	0.765737	1.23426	0.3538905	0.787655	1.26959	0.000337086	0.00633594	0.04623808	0.0462381	0.0462381	0.06874357	0.001018086	0.00253206	3.74996e-05	0.134955	0.00199867	0.0368335	1.96317	2.947344	0.136975	7.30058	0.0687436	0.00101809	0.0149242	0.0116903
60	-2214.57	-2216.503	1.932332	0.0001922744	0.0002372469	0.000123181	0.000151992	0.000261368	0.000322502	0.64065	1.35935	0.5576645	0.686507	1.45665	0.000192274	0.000237247	0.0596245	0.0596245	0.0596245	0.06874357	0.005149324	0.00253206	0.000189667	0.134955	0.010109	0.0368335	1.96317	2.947344	0.136975	7.30058	0.0687436	0.00514932	0.01581	0.00167578
