Taxon,SSB
Gerbillus_percivali,?
Gerbillus_perpallidus,?
Gerbillus_poecilops,?
Gerbillus_principulus,?
Gerbillus_pulvinatus,?
Gerbillus_pusillus,0
Gerbillus_pyramidum,0
Gerbillus_rosalinda,?
Gerbillus_rupicola,?
Gerbillus_simoni,?
Gerbillus_somalicus,?
Gerbillus_stigmonyx,?
Gerbillus_tarabuli,?
Gerbillus_watersi,?
Golunda_ellioti,0
Grammomys_aridulus,?
Grammomys_buntingi,?
Grammomys_caniceps,?
Grammomys_cometes,?
Grammomys_dolichurus,0
Grammomys_dryas,?
Grammomys_gigas,?
Grammomys_ibeanus,?
Grammomys_kuru,?
Grammomys_macmillani,?
Grammomys_minnae,?
Grammomys_selousi,?
Hadromys_humei,?
Hadromys_yunnanensis,?
Haeromys_margarettae,?
Haeromys_minahassae,?
Haeromys_pusillus,?
Hapalomys_delacouri,?
Hapalomys_longicaudatus,?
Heimyscus_fumosus,?
Hybomys_badius,?
Hybomys_basilii,?
Hybomys_lunaris,?
Hybomys_planifrons,?
Hybomys_trivirgatus,0
Hybomys_univittatus,?
Hydromys_chrysogaster,0
Hydromys_hussoni,?
Hydromys_neobritannicus,?
Hydromys_ziegleri,?
Hylomyscus_aeta,?
Hylomyscus_alleni,?
Hylomyscus_baeri,?
Hylomyscus_carillus,?
